"Wallet Address (FULL)","Lifetime Total PnL","Wallet Age","# Multi-x Wins","Smart Money?","Sniper?","Builder?","Source Token(s)","Cluster","Notes"
"8EmYYBEN6a4xE92gLsAKVZHtmC5Ga4eNxXp1c9E8jiWg","+$54.62K","1mo","-","Yes","No","No","HUNTER","HUNTER-cluster-A","Cluster member (co-buy DESIRABLE)"
"WtLKrJwSYm2nSeinnUZGsmTifiTgcEjWaRHS7i65rr9","+$34.46K","1mo","multiple","Yes","No","No","HUNTER","HUNTER-cluster-A","Cluster member (co-buy DESIRABLE)"
"2wHHnAmdhFaAAsayWAeqKe3snK3KkbRQkRgLwTtz7iCi","+$1.53M","10mo","665>100% / 76>500%","Yes","No","No","HAPPY","HAPPY-cluster-B","STRONG; sibling cluster (co-buy DESIRABLE)"
"9yxmCNwZcHe63NucU9yvCt7b1ja3jwP9v4T3yFMkQ1Z9","+$1.58M","10mo","many","Yes","No","No","HAPPY","HAPPY-cluster-B","STRONG; sibling cluster (co-buy DESIRABLE)"
"EDV6cyMpaspzChTPWAuTgWm7yiXdHdiGrvKyGn9BaLXR","+$16.36K","3mo","some","Yes","No","No","HAPPY","","Clean 3mo scalper; qualifies"
"zWW9cmsw5eBZYES5QdjwX9W1NgsfTc8mHnsHq2TfqFB","+$105.38K","2mo","multiple","Yes","No","No","WORLDKINS","","Strong mid-cap winner"
"BYHcVqpRLBBEN29NbrcjJvYfs5NqhoLHkgCvMXEJUsVU","+$13.42K","4mo","some","Yes","No","No","WORLDKINS","","Qualifies"
"795ieE5FALdgzthAJM3bwK4PcsrT6W9xpsYUt2qnFY8b","+$45.41K","1y","multiple","Yes","No","No","Kiyomasa, HUNTER","","STRONGEST from prior session; multi-token winner"
"5b6B5vYDR1nvFRHDFPhDgmEtn7dmvf8xCc7vzMa6gczB","+$41.18K","1y","multiple","Yes","No","No","Kiyomasa","","Multi-token winner"
"DnM1qFD9Xs2HrauFyqPhfty2T8Fpmk5t28QFCAD2pvKK","+$20.84K","2mo","some","Yes","No","No","Kiyomasa","","Qualifies"
"6613dcBRAbSyhmqXD2J97N5b7sAmagzYDPuqGZzBH7vr","+$19.97K","3mo","some","Yes","No","No","Kiyomasa","","Qualifies"
"CNM1c1NfFp8ZF7MjKzeNLHEAkFenVgX8ChcwPjHorNEn","+$17.73K","1mo","some","Yes","No","No","B4GTA6","","Qualifies"
