address,verdict,realized_pnl,unrealized_pnl,avg_hold,rug_pct,multi_x_wins,reason,date_vetted
2Cq2RNFFxxPXL7teNQAji1beA2vFbBDYW5BGPBFvoN9m,REJECT,+$494.69K,-$2.34M,27d,30.7%,1 (>100%),Bag-holder + bot: unrealized -$2.34M dwarfs realized (net -$1.85M); 211K/209K txns; 27d holds; only 1 multi-x,2026-06-22
GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,REJECT,+$2.18M,-$615.66K,21d,0%,0,"MM/HFT bot: 2.15M/2.15M symmetric txns, $2.17B vol; 21d holds; 0 multi-x wins",2026-06-22
8Ja66Nd3Qbu9hbxa3znKvGqNhLgpi78jPhwaaQZsgXo,REJECT,+$382.21K,-$1.82M,1mo,99.93%,91 (>100%),Deep bag-holder: unrealized -$1.82M dwarfs realized +$382K (net -$1.44M); 1mo holds,2026-06-22
34FtKFFph361iC8f3d5wRKe9hrePX8pE1d8psPgJLTzS,KEEP,+$796.07K,-$262.12K,5d,99.73%,"20 (>500%), 45 (>100%)",Banked +$796K realized exceeds -$262K unrealized (net +$534K); 5d holds; 65 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
ESuvjvsQtjuxC4XGsDeMhx8Wp5yjQcCFGncGhupcJbg8,KEEP,+$720.71K,-$560.94,3d,67.3%,"1.35K (>500%), 3.23K (>100%)",Banked +$720.71K realized; ~flat unrealized (-$561); 3d holds; thousands of multi-x wins; high-volume fresh-mint sniper not two-sided MM; high rug% confirmatory,2026-06-22
FNBYmvedELDzfYbZ61B8HGNJafvRu3MCr9MrHPTmBRpm,KEEP,+$3.2M,-$1.53M,12d,100%,"80 (>500%), 198 (>100%)",Banked +$3.2M realized exceeds -$1.53M unrealized (net +$1.67M); 12d holds; 278 multi-x wins; 91% win rate; high rug% confirmatory,2026-06-22
6AUZM3tasdcTzWdpiLoFfPTi7cYCQvZUL4EFeVy8poKQ,KEEP,+$2.5M,-$1.44M,13d,100%,"79 (>500%), 176 (>100%)",Banked +$2.5M realized exceeds -$1.44M unrealized (net +$1.06M); 13d holds (under swing threshold); 255 multi-x wins; 87% win rate; high rug% confirmatory,2026-06-22
GCvHhEUYQwTJ8jyf8Lc4bv8jBXyZU4LMMsZCobwEPzvM,REJECT,-$1.28M,-$130.72M,3mo,29.5%,"5 (>500%), 25 (>100%)",Negative realized -$1.28M + catastrophic bag -$130.72M (net -$132M); 3mo holds; bot-scale 4.83M txns,2026-06-22
7WhVKFLagJosyHGuCqNQfT2uuAU5Ctjk5R1HNRQ6Auxx,KEEP,+$501.06K,-$398.13K,9d,99.84%,"16 (>500%), 20 (>100%)",Banked +$501K realized exceeds -$398K unrealized (net +$103K); 9d holds; 36 multi-x wins; 90% win rate; high rug% confirmatory,2026-06-22
5SeiqrxaV6RPqvqge42YTB1XqBV6iFvCrDZMimseL7FB,KEEP,+$1.27M,-$618.47K,10d,99.85%,"34 (>500%), 80 (>100%)",Banked +$1.27M realized exceeds -$618K unrealized (net +$656K); 10d holds; 114 multi-x wins; high rug% confirmatory; fast-exit sniper,2026-06-22
