count	wallet_address	tokens_touched
7	2Ejnns2Fd5gsZdFJbnkZmQEwbrgoiMc2ikKcS2z2Ps3e	ACT|ZEREBRO|FARTCOIN|GRIFFAIN|SWARMS|MELANIA|USELESS
5	9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4	GOAT|ZEREBRO|FARTCOIN|GRIFFAIN|PIPPIN
5	28RWPC6XPxSxUVjd27KiNRtcHVxKtd6cjms7eBcxiqdV	GOAT|ACT|ZEREBRO|FARTCOIN|PIPPIN
5	DSFWxvJjgvLbVqoQ1Zwoe1iVHhwFgrfSiF3ZK1h7nd1K	ACT|ZEREBRO|FARTCOIN|GRIFFAIN|MELANIA
5	7w2UAHpFGfuDysgyS6oVarevXMLy5mDPSQgmJ7oWZdaf	ACT|ZEREBRO|SWARMS|MELANIA|memecoin
4	AgnaNYcNXDL5Kzjptxb4tLF4NRs1GunRh2SdVCdLST3T	ZEREBRO|GRIFFAIN|PIPPIN|SWARMS
3	M2St7Gra11AKvk3tC4fJPkxviWYKpLZSMmKcHNoDtxp	GOAT|ACT|MELANIA
3	8Czzjeh2igeE7gSsbuuXVZUmZZ42yZTCNUZoZcCGRKdr	ACT|ZEREBRO|SWARMS
3	AGiAVqZiQrz32m1zKC5T4UfQKcDoGNG34sqSHSVNgwtv	ai16z|GRIFFAIN|USELESS
3	CreQJ2t94QK5dsxUZGXfPJ8Nx7wA9LHr5chxjSMkbNft	ZEREBRO|GRIFFAIN|PIPPIN
3	C4B4XFxWrhsedA2TTcwZDVqa4vZ3f4jigySkvPbn5qMA	GRIFFAIN|PIPPIN|SWARMS
3	9FMUjZHCJEeoz1Au9RB7RsgCEeaDfQ164TToKfixCSHi	GRIFFAIN|PIPPIN|SWARMS
2	4yqgcP2EvCyyE14Zd9H2jPFMK59q67YUz7bBnUcKcfVE	GOAT|GRIFFAIN
2	CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs	ACT|MELANIA
2	FrhLfj81LRpMR3EwSSCGPzHmxsnoq8h628ne68vK5oMN	ACT|SWARMS
2	FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp	ZEREBRO|SWARMS
2	8VKR4HFMbog7rP8TVJ4U3EWniDaxjtbbk1bf3FDAakbG	ZEREBRO|SWARMS
2	4QuB7hY3H512CLG1orbVrA7HTeXbBYCPxBpNfQ6gs5ru	FARTCOIN|PIPPIN
2	jew.sol	FARTCOIN|USELESS
2	9nj4oySaZLZDj9VM11ex8Yq9PMkBaRAF25pjFDZ5YZm4	FARTCOIN|USELESS
2	VJH55gfPZ1RTq52zoXnkdAeq52iFiwYLWChpL7sCKRR	GRIFFAIN|PIPPIN
2	FE2MHWLTSmndBUWbbtmnfUfoKrn9NKtDCDGxCPG2h9Dy	GRIFFAIN|SWARMS
2	EWJH1tZ7i7FsZBZVYVXyTu1rAyYtxWSS9gv1MJaknxdU	GRIFFAIN|MELANIA
2	5ghVXfuvzLBMAdwLbs8dcCEK5viqMCqkGY71L2cZ1rCo	PIPPIN|SWARMS
